,Date,User,Tweet
60,2022-08-23 16:40:14+00:00,ticketrules,"Today's Best NBA Reporting: https://t.co/rNCSD6TVE2
#nba #nbadraft #kevindurant #nbatrades #nbacoaches   #nbarookies #nbanalytics #nbahistory
@jhaarsd @AUgetoffmygold @highkin @thefadeawaypod @BenGolliver @MoDakhil_NBA @JeremyWoo @wtevs @SprungOnSports @SethPartnow @MikeVorkunov"
61,2022-08-23 16:35:45+00:00,ticketrules,"Today's Best NBA Reporting: https://t.co/rNCSD6TVE2
#nba #nbadraft #kevindurant #nbatrades #nbacoaches   #nbarookies #nbanalytics #nbahistory
@krisplashed @SBN_Ricky @ethman43 @jackfrank_jjf @JackSimoneNBA @DylanHCarter @TJMcBrideNBA @Tjonesonthenba @Joe_Truck @jovanbuha"
62,2022-08-23 16:05:15+00:00,LTrain_NBA,"Για τον ελεύθερο Dennis Schroder φαίνεται πως θα κινηθούν οι #lakers.

Αν υπογράψει με τους ""λιμνανθρωπους"" υπάρχει το ερωτηματικό του ποιος εκ των δύο (Westbrook ο άλλος) θα είναι βασικό point guard.

#NBAFreeAgency #NBAtrades #NBARumors #NBATwitter #NBA #NBAExtra #NBA75"
63,2022-08-23 15:59:01+00:00,LTrain_NBA,"Υπόθεση KD, τέλος. Ομάδα που να δίνει αυτά που θέλουν οι #nets δεν βρέθηκε, οπότε παίκτης και οργανισμός αποφάσισαν από κοινού να προχωρήσουν μαζί.

Αυτό συνεπάγεται ότι μένει και ο Kyrie και πραγματικά, οι #nets δεν σας κουνάνε τη βελόνα πλέον?

#NBAFreeAgency #NBAtrades"
64,2022-08-23 15:09:39+00:00,AnteUpConsult,Kevin Durant and Nets Leadership Agree To Continue Partnership. Durant Is Off Trade Market. #NBANews #KevinDurant #Nets #BrooklynNets #Nbatrades #sportsnews https://t.co/goWiSaWbcg
65,2022-08-23 13:05:00+00:00,Sportsnaut,It looks like the #Knicks are very close on getting a deal done for Donovan Mitchell. There is just one final hold up. Unprotected draft picks. @JasonBurgosMMA has the story. #nyknicks #nba #nbatrades https://t.co/E5mrnJpHiL
66,2022-08-22 14:55:13+00:00,LTrain_NBA,"Toppin, Fournier και 5 frp δίνουν οι #knicks για Mitchell. Δεν ικανοποιείται ο Ainge και ζητάει να κάνουν καλύτερη προσφορά οι #knicks.

#NBAFreeAgency #NBAtrades #NBARumors #NBATwitter #NBA #NBAExtra #NBA75 #NBAYoungBoy #NBATwitterLive #NBATipo #NBABasketball #OTNBA"
67,2022-08-22 14:49:26+00:00,LTrain_NBA,"Κι επίσημα στο ""κυνήγι"" του KD και οι #suns οι οποίοι δίνουν ένα γενναίο αριθμό frp και τον Mikal Bridges στους #nets.

#NBAFreeAgency #NBAtrades #NBARumors #NBATwitter #NBA #NBAExtra #NBA75 #NBAYoungBoy #NBATwitterLive #NBATipo #NBABasketball #OTNBA"
68,2022-08-22 14:48:45+00:00,LTrain_NBA,"Κρούση για KD έκαναν και #bucks και #grizzlies.
Δεν υπάρχει αναφορά για το τι προτίθενται να βάλουν στο trade block είτε οι μεν είτε οι δε.

Για #grizzlies το σίγουρο είναι ότι δε θέλουν να δώσουν μαζί JJJ και Bane.

#NBAFreeAgency #NBAtrades #NBARumors #NBATwitter #NBA #NBAExtra"
69,2022-08-22 14:43:10+00:00,LTrain_NBA,"Προσφορά στους #nets για trade έστειλαν οι #hawks για τον KD. Δίνοντας τους Collins, Hunter και frp.

#NBAFreeAgency #NBAtrades #NBARumors #NBATwitter #NBA #NBAExtra #NBA75 #NBAYoungBoy #NBATwitterLive #NBATipo #NBABasketball #OTNBA"
